T1	ORG 54 61	JetBlue
T2	EVENT 84 101	Thanksgiving week
R1	Product-Producer Arg1:T2 Arg2:T1	
T3	ORG 680 696	Virgin Hyperloop
T4	DATE 707 713	Sunday
T5	QUANTITY 779 788	500 meter
T7	PERSON 918 933	Richard Branson
T8	ORG 950 956	Virgin
T9	TIME 1037 1046	the years
R2	Ownership Arg1:T7 Arg2:T8	
R3	Entity-Destination Arg1:T3 Arg2:T5	
T10	ORG 1163 1165	GM
T11	PRODUCT 1180 1198	2022 GMC Hummer EV
R4	Product-Producer Arg1:T11 Arg2:T10	
T12	ORG 1433 1435	GM
T13	PERSON 1440 1450	Mary Barra
T14	PRODUCT 1462 1471	Hummer EV
T15	ORG 1502 1504	GM
T16	PRODUCT 1532 1534	EV
R5	Ownership Arg1:T13 Arg2:T12	
R6	Product-Producer Arg1:T14 Arg2:T12	
R7	Product-Producer Arg1:T16 Arg2:T15	
T17	ORG 2261 2276	Virgin Galactic
T18	PERSON 2281 2299	Michael Colglazier
T19	MONEY 2337 2358	as much as $1 billion
T20	ORDINAL 2362 2368	annual
R8	OTHER Arg1:T3 Arg2:T4	
R9	Ownership Arg1:T18 Arg2:T17	
R10	Entity-Original Arg1:T19 Arg2:T20	
T6	TIME 2394 2409	the years ahead
T21	PERSON 2766 2776	Colglazier
T22	DATE 2838 2846	Thursday
R11	Entity-Destination Arg1:T19 Arg2:T6	
T24	ORG 3450 3453	UBS
T25	PERSON 3462 3474	Myles Walton
T26	MONEY 3492 3502	$1 billion
T27	ORDINAL 3506 3512	annual
T28	QUANTITY 3525 3528	400
T29	MONEY 3572 3586	about $400,000
T30	GPE 3591 3606	Virgin Galactic
R12	Member-Collection Arg1:T25 Arg2:T24	
R13	Component-Whole Arg1:T26 Arg2:T27	
R14	OTHER Arg1:T21 Arg2:T22	
R15	Cause-Effect Arg1:T28 Arg2:T29	
R16	Cause-Effect Arg1:T26 Arg2:T29	
R17	Content-Container Arg1:T29 Arg2:T30	
T23	TIME 3839 3848	six years
T31	GPE 3866 3875	Astypalea
R18	Entity-Destination Arg1:T23 Arg2:T31	
T32	NORP 4162 4169	Chinese
T33	ORG 4190 4197	Pony.ai
R19	Entity-Original Arg1:T33 Arg2:T32	
T34	MONEY 4261 4273	$5.3 billion
R20	Component-Whole Arg1:T34 Arg2:T33	
T35	NORP 4733 4740	Chinese
T36	GPE 4749 4758	Guangzhou
R21	Content-Container Arg1:T36 Arg2:T35	
T37	ORG 4909 4924	Virgin Galactic
T38	MONEY 5023 5034	$54 million
T39	DATE 5043 5060	the prior quarter
R22	Content-Container Arg1:T38 Arg2:T39	
T40	MONEY 4974 4985	$66 million
T41	DATE 4934 4949	a third quarter
R23	Content-Container Arg1:T40 Arg2:T41	
T42	MONEY 5091 5103	$742 million
T43	DATE 5164 5170	August
R24	Content-Container Arg1:T42 Arg2:T43	
R25	Product-Producer Arg1:T40 Arg2:T37	
T44	DATE 5405 5416	the quarter
T45	ORG 5531 5548	Spaceport America
T46	ORG 5481 5490	VSS Unity
R26	Instrument-Agency Arg1:T46 Arg2:T45	
T47	ORG 5565 5580	Virgin Galactic
T48	PERSON 5585 5603	Michael Colglazier
R27	Ownership Arg1:T48 Arg2:T47	
T49	ORG 6008 6015	Bentley
T50	TIME 6083 6087	2026
T51	TIME 6117 6121	2030
R28	Entity-Destination Arg1:T49 Arg2:T50	
R29	Entity-Destination Arg1:T49 Arg2:T51	
T52	ORG 6217 6227	Volkswagen
T53	QUANTITY 6253 6256	two
T54	DATE 6296 6305	next year
R30	Product-Producer Arg1:T53 Arg2:T52	
T55	ORDINAL 6408 6413	first
T56	DATE 6451 6455	2025
R31	Entity-Destination Arg1:T55 Arg2:T56	
T57	ORG 6533 6535	GM
T58	MONEY 6637 6655	roughly $1 billion
T59	GPE 6663 6671	Canadian
R32	Product-Producer Arg1:T58 Arg2:T57	
R33	Content-Container Arg1:T58 Arg2:T59	
T60	ORG 6789 6791	GM
T61	PERSON 6796 6806	Mary Barra
R34	Ownership Arg1:T61 Arg2:T60	
T62	PRODUCT 6888 6894	Oshawa
T63	GPE 7096 7104	Canadian
T64	ORG 7111 7117	Unifor
